serialNumber,category,brand,model,schoolCode,status,specifications,condition
TAB-031958447,Tablet,Apple,Galaxy Tab A8,,Maintenance,"10.1 inch Display, 64GB Storage",Good
TAB-031959626,Tablet,Samsung,Tab M10,,Available,"3000 Lumens, HDMI, VGA",Fair
OTH-031960245,Others,HP,Printer MF445dw,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
LAP-031961913,Laptop,ASUS,ProBook 450,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",New
DES-031962356,Desktop,Dell,Veriton M,,Available,"Network Ready, Duplex Printing",New
TAB-031963252,Tablet,Apple,Galaxy Tab A8,,Available,"4GB RAM, 128GB SSD, Intel Core i3",New
LAP-031964389,Laptop,Lenovo,Aspire 5,,Maintenance,"4000 Lumens, Wireless",Fair
PRO-031965788,Projector,Optoma,HD146X,,Maintenance,"10.1 inch Display, 64GB Storage",Fair
TAB-031966891,Tablet,Lenovo,Galaxy Tab A8,,Maintenance,"Network Ready, Duplex Printing",New
PRO-031967628,Projector,Optoma,MH550,,Available,"10.1 inch Display, 64GB Storage",Fair
PRO-031968851,Projector,BenQ,PA503W,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",New
LAP-031969643,Laptop,ASUS,Latitude 3520,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Good
PRO-031970757,Projector,Optoma,HD146X,,Available,"4000 Lumens, Wireless",New
LAP-031971103,Laptop,Lenovo,Latitude 3520,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Good
PRO-031972920,Projector,ViewSonic,EB-X05,,Maintenance,"13.3 inch Display, 128GB Storage",Good
TAB-031973272,Tablet,Huawei,Tab M10,,Maintenance,"13.3 inch Display, 128GB Storage",New
PRO-031974096,Projector,BenQ,MH550,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Good
PRO-031975158,Projector,Epson,HD146X,,Available,"32GB RAM, 1TB SSD, Intel Core i9",New
LAP-031976563,Laptop,ASUS,ThinkPad E14,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",New
TAB-031977506,Tablet,Samsung,Galaxy Tab A8,,Available,"4000 Lumens, Wireless",Fair
OTH-031978226,Others,HP,DCP-L2550DW,,Maintenance,"3000 Lumens, HDMI, VGA",Good
DES-031979203,Desktop,Acer,ThinkCentre M720,,Available,"4000 Lumens, Wireless",New
DES-031980754,Desktop,Acer,EliteDesk 800,,Maintenance,"Network Ready, Duplex Printing",Good
LAP-031981884,Laptop,Dell,ThinkPad E14,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Fair
DES-031982858,Desktop,Acer,ThinkCentre M720,,Available,"3000 Lumens, HDMI, VGA",Good
LAP-031983135,Laptop,Lenovo,VivoBook 15,,Maintenance,"10.1 inch Display, 64GB Storage",New
LAP-031984513,Laptop,Acer,Latitude 3520,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Good
TAB-031985979,Tablet,Apple,Galaxy Tab A8,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Fair
LAP-031986588,Laptop,Lenovo,Latitude 3520,,Maintenance,"10.1 inch Display, 64GB Storage",New
LAP-031987693,Laptop,HP,Aspire 5,,Available,"Network Ready, Duplex Printing",Good
TAB-031988826,Tablet,Lenovo,iPad 9th Gen,,Available,"4GB RAM, 128GB SSD, Intel Core i3",New
OTH-031989670,Others,HP,Webcam C920,,Available,"4000 Lumens, Wireless",New
DES-031990456,Desktop,Acer,ThinkCentre M720,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
LAP-031991697,Laptop,Acer,Latitude 3520,,Maintenance,"13.3 inch Display, 128GB Storage",Good
TAB-031992296,Tablet,Samsung,iPad 9th Gen,,Available,"8GB RAM, 256GB SSD, Intel Core i5",New
LAP-031993832,Laptop,Acer,VivoBook 15,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
PRO-031994084,Projector,BenQ,MH550,,Available,"Network Ready, Duplex Printing",Fair
DES-031995478,Desktop,Lenovo,OptiPlex 3080,,Maintenance,"10.1 inch Display, 64GB Storage",Good
PRO-031996411,Projector,Optoma,HD146X,,Maintenance,"3000 Lumens, HDMI, VGA",Good
LAP-031997775,Laptop,HP,ThinkPad E14,,Maintenance,"Network Ready, Duplex Printing",Fair
OTH-031998328,Others,Logitech,DCP-L2550DW,,Available,"13.3 inch Display, 128GB Storage",Fair
DES-031999275,Desktop,HP,ThinkCentre M720,,Available,"Network Ready, Duplex Printing",New
LAP-032000258,Laptop,Acer,Aspire 5,,Maintenance,"3000 Lumens, HDMI, VGA",Good
OTH-032001153,Others,Logitech,Printer MF445dw,,Maintenance,"Network Ready, Duplex Printing",Good
DES-032002867,Desktop,HP,EliteDesk 800,,Available,"13.3 inch Display, 128GB Storage",Good
TAB-032003941,Tablet,Lenovo,Galaxy Tab A8,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",New
TAB-032004629,Tablet,Huawei,Tab M10,,Available,"4000 Lumens, Wireless",Fair
LAP-032005617,Laptop,Acer,Latitude 3520,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Fair
DES-032006531,Desktop,Lenovo,Veriton M,,Maintenance,"Network Ready, Duplex Printing",Fair
PRO-032007491,Projector,ViewSonic,EB-X05,,Available,"4GB RAM, 128GB SSD, Intel Core i3",New
DES-032008811,Desktop,HP,Veriton M,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",New
DES-032009418,Desktop,Acer,EliteDesk 800,,Available,"4000 Lumens, Wireless",New
OTH-032010671,Others,HP,Webcam C920,,Maintenance,"13.3 inch Display, 128GB Storage",Fair
TAB-032011640,Tablet,Apple,iPad 9th Gen,,Maintenance,"13.3 inch Display, 128GB Storage",Fair
OTH-032012058,Others,Logitech,LaserJet Pro,,Available,"Network Ready, Duplex Printing",Good
DES-032013121,Desktop,Dell,OptiPlex 3080,,Maintenance,"4000 Lumens, Wireless",Fair
DES-032014227,Desktop,Acer,OptiPlex 3080,,Maintenance,"3000 Lumens, HDMI, VGA",Fair
TAB-032015499,Tablet,Samsung,iPad 9th Gen,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",New
TAB-032016624,Tablet,Lenovo,Tab M10,,Available,"Network Ready, Duplex Printing",Fair
DES-032017244,Desktop,Acer,OptiPlex 3080,,Available,"4000 Lumens, Wireless",Good
DES-032018958,Desktop,Acer,EliteDesk 800,,Available,"4000 Lumens, Wireless",New
DES-032019625,Desktop,HP,EliteDesk 800,,Maintenance,"4000 Lumens, Wireless",New
PRO-032020210,Projector,ViewSonic,MH550,,Available,"32GB RAM, 1TB SSD, Intel Core i9",New
TAB-032021600,Tablet,Huawei,iPad 9th Gen,,Maintenance,"13.3 inch Display, 128GB Storage",New
LAP-032022026,Laptop,Acer,ProBook 450,,Maintenance,"13.3 inch Display, 128GB Storage",Fair
LAP-032023484,Laptop,Dell,Aspire 5,,Available,"13.3 inch Display, 128GB Storage",Good
PRO-032024003,Projector,ViewSonic,PA503W,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Fair
OTH-032025554,Others,Canon,LaserJet Pro,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
LAP-032026959,Laptop,Dell,ThinkPad E14,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
OTH-032027775,Others,Logitech,LaserJet Pro,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",New
PRO-032028409,Projector,BenQ,PA503W,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Good
DES-032029123,Desktop,Acer,Veriton M,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Good
DES-032030624,Desktop,Dell,Veriton M,,Available,"10.1 inch Display, 64GB Storage",Good
OTH-032031664,Others,Brother,DCP-L2550DW,,Maintenance,"Network Ready, Duplex Printing",Good
TAB-032032903,Tablet,Samsung,iPad 9th Gen,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Fair
DES-032033097,Desktop,Acer,Veriton M,,Maintenance,"10.1 inch Display, 64GB Storage",Fair
TAB-032034217,Tablet,Samsung,MatePad,,Maintenance,"Network Ready, Duplex Printing",Fair
LAP-032035226,Laptop,Acer,ProBook 450,,Maintenance,"Network Ready, Duplex Printing",Good
OTH-032036225,Others,HP,LaserJet Pro,,Available,"3000 Lumens, HDMI, VGA",Good
PRO-032037183,Projector,Optoma,MH550,,Available,"13.3 inch Display, 128GB Storage",Fair
PRO-032038151,Projector,Optoma,MH550,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Fair
LAP-032039416,Laptop,ASUS,ProBook 450,,Maintenance,"13.3 inch Display, 128GB Storage",Good
OTH-032040690,Others,HP,DCP-L2550DW,,Available,"3000 Lumens, HDMI, VGA",Good
TAB-032041714,Tablet,Huawei,Galaxy Tab A8,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
TAB-032042254,Tablet,Lenovo,iPad 9th Gen,,Available,"4000 Lumens, Wireless",Fair
TAB-032043918,Tablet,Lenovo,iPad 9th Gen,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Fair
PRO-032044496,Projector,Epson,HD146X,,Available,"13.3 inch Display, 128GB Storage",Good
LAP-032045284,Laptop,Lenovo,VivoBook 15,,Available,"4000 Lumens, Wireless",Good
TAB-032046946,Tablet,Huawei,iPad 9th Gen,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Fair
LAP-032047347,Laptop,Dell,ThinkPad E14,,Available,"4000 Lumens, Wireless",Fair
TAB-032048801,Tablet,Apple,MatePad,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Fair
TAB-032049858,Tablet,Lenovo,MatePad,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
TAB-032050834,Tablet,Huawei,iPad 9th Gen,,Maintenance,"Network Ready, Duplex Printing",Good
DES-032051329,Desktop,Dell,EliteDesk 800,,Maintenance,"13.3 inch Display, 128GB Storage",Fair
LAP-032052255,Laptop,HP,VivoBook 15,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Good
PRO-032053678,Projector,ViewSonic,EB-X05,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
OTH-032054301,Others,Canon,DCP-L2550DW,,Maintenance,"3000 Lumens, HDMI, VGA",Good
PRO-032055367,Projector,Optoma,HD146X,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Good
LAP-032056480,Laptop,HP,ThinkPad E14,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
TAB-032057693,Tablet,Huawei,Galaxy Tab A8,,Available,"10.1 inch Display, 64GB Storage",Fair
DES-032058753,Desktop,Lenovo,Veriton M,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",New
PRO-032059624,Projector,Epson,HD146X,,Maintenance,"Network Ready, Duplex Printing",Fair
LAP-032060886,Laptop,Lenovo,Latitude 3520,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
PRO-032061452,Projector,Optoma,EB-X05,,Available,"4000 Lumens, Wireless",Good
OTH-032062305,Others,HP,Printer MF445dw,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",New
LAP-032063228,Laptop,Acer,Aspire 5,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Fair
DES-032064945,Desktop,Acer,Veriton M,,Maintenance,"4000 Lumens, Wireless",Good
OTH-032065373,Others,Brother,Printer MF445dw,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
DES-032066004,Desktop,Acer,Veriton M,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Fair
OTH-032067779,Others,HP,DCP-L2550DW,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",New
DES-032068633,Desktop,Lenovo,OptiPlex 3080,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Good
OTH-032069610,Others,Canon,DCP-L2550DW,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Fair
OTH-032070811,Others,Brother,LaserJet Pro,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Good
DES-032071037,Desktop,Acer,Veriton M,,Available,"Network Ready, Duplex Printing",New
TAB-032072001,Tablet,Apple,iPad 9th Gen,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
DES-032073927,Desktop,HP,EliteDesk 800,,Maintenance,"10.1 inch Display, 64GB Storage",New
PRO-032074936,Projector,BenQ,EB-X05,,Available,"10.1 inch Display, 64GB Storage",New
PRO-032075792,Projector,ViewSonic,PA503W,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",New
LAP-032076764,Laptop,ASUS,Latitude 3520,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Good
LAP-032077634,Laptop,ASUS,ProBook 450,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
PRO-032078390,Projector,Optoma,HD146X,,Available,"10.1 inch Display, 64GB Storage",New
OTH-032079199,Others,Brother,Webcam C920,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
OTH-032080303,Others,Logitech,Printer MF445dw,,Available,"3000 Lumens, HDMI, VGA",Fair
OTH-032081270,Others,Canon,Printer MF445dw,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",New
OTH-032082394,Others,Brother,DCP-L2550DW,,Maintenance,"Network Ready, Duplex Printing",Fair
LAP-032083592,Laptop,Dell,Aspire 5,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
LAP-032084144,Laptop,ASUS,ProBook 450,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
DES-032085235,Desktop,Dell,Veriton M,,Available,"8GB RAM, 256GB SSD, Intel Core i5",New
OTH-032086868,Others,Canon,DCP-L2550DW,,Available,"10.1 inch Display, 64GB Storage",New
TAB-032087745,Tablet,Huawei,iPad 9th Gen,,Maintenance,"Network Ready, Duplex Printing",Good
TAB-032088774,Tablet,Huawei,Tab M10,,Available,"10.1 inch Display, 64GB Storage",New
DES-032089072,Desktop,Dell,EliteDesk 800,,Maintenance,"10.1 inch Display, 64GB Storage",Good
PRO-032090024,Projector,Optoma,MH550,,Maintenance,"13.3 inch Display, 128GB Storage",Good
PRO-032091929,Projector,Optoma,EB-X05,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Good
PRO-032092200,Projector,Optoma,EB-X05,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Good
OTH-032093854,Others,Brother,DCP-L2550DW,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",New
OTH-032094275,Others,Canon,DCP-L2550DW,,Available,"10.1 inch Display, 64GB Storage",New
DES-032095242,Desktop,Dell,ThinkCentre M720,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Fair
LAP-032096178,Laptop,HP,VivoBook 15,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",New
OTH-032097417,Others,Logitech,Printer MF445dw,,Maintenance,"3000 Lumens, HDMI, VGA",Fair
TAB-032098097,Tablet,Samsung,Tab M10,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Fair
PRO-032099107,Projector,Epson,HD146X,,Maintenance,"10.1 inch Display, 64GB Storage",Good
OTH-032100746,Others,Canon,Printer MF445dw,,Available,"8GB RAM, 256GB SSD, Intel Core i5",New
OTH-032101737,Others,Brother,LaserJet Pro,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Fair
LAP-032102121,Laptop,Lenovo,ThinkPad E14,,Available,"32GB RAM, 1TB SSD, Intel Core i9",New
TAB-032103478,Tablet,Huawei,Galaxy Tab A8,,Available,"4000 Lumens, Wireless",New
TAB-032104613,Tablet,Samsung,Tab M10,,Maintenance,"10.1 inch Display, 64GB Storage",Fair
LAP-032105811,Laptop,Acer,ProBook 450,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",New
PRO-032106625,Projector,ViewSonic,PA503W,,Available,"10.1 inch Display, 64GB Storage",New
OTH-032107569,Others,Logitech,LaserJet Pro,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Good
DES-032108504,Desktop,Dell,Veriton M,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
PRO-032109077,Projector,BenQ,PA503W,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Fair
PRO-032110526,Projector,BenQ,HD146X,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Fair
TAB-032111664,Tablet,Apple,Galaxy Tab A8,,Available,"3000 Lumens, HDMI, VGA",Fair
PRO-032112470,Projector,Epson,HD146X,,Available,"Network Ready, Duplex Printing",New
OTH-032113849,Others,HP,Printer MF445dw,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
TAB-032114605,Tablet,Apple,MatePad,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",New
DES-032115512,Desktop,Dell,EliteDesk 800,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Good
DES-032116652,Desktop,Lenovo,EliteDesk 800,,Available,"10.1 inch Display, 64GB Storage",New
PRO-032117061,Projector,Epson,EB-X05,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
PRO-032118919,Projector,BenQ,PA503W,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Fair
DES-032119900,Desktop,Lenovo,OptiPlex 3080,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Good
TAB-032120118,Tablet,Huawei,iPad 9th Gen,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
LAP-032121964,Laptop,Dell,ProBook 450,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Fair
TAB-032122279,Tablet,Huawei,iPad 9th Gen,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
OTH-032123102,Others,HP,LaserJet Pro,,Maintenance,"10.1 inch Display, 64GB Storage",New
OTH-032124539,Others,Logitech,DCP-L2550DW,,Maintenance,"10.1 inch Display, 64GB Storage",Good
TAB-032125182,Tablet,Samsung,Tab M10,,Available,"Network Ready, Duplex Printing",New
TAB-032126549,Tablet,Huawei,iPad 9th Gen,,Maintenance,"4000 Lumens, Wireless",Fair
PRO-032127477,Projector,Epson,MH550,,Available,"4000 Lumens, Wireless",New
LAP-032128386,Laptop,HP,ProBook 450,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Good
LAP-032129749,Laptop,HP,Latitude 3520,,Maintenance,"13.3 inch Display, 128GB Storage",Good
DES-032130526,Desktop,Lenovo,Veriton M,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Good
TAB-032131162,Tablet,Apple,Tab M10,,Available,"13.3 inch Display, 128GB Storage",Good
LAP-032132376,Laptop,Dell,Aspire 5,,Available,"32GB RAM, 1TB SSD, Intel Core i9",New
LAP-032133319,Laptop,Lenovo,Latitude 3520,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
LAP-032134951,Laptop,Dell,Aspire 5,,Maintenance,"13.3 inch Display, 128GB Storage",Fair
DES-032135402,Desktop,HP,Veriton M,,Maintenance,"3000 Lumens, HDMI, VGA",New
TAB-032136517,Tablet,Samsung,Galaxy Tab A8,,Available,"Network Ready, Duplex Printing",New
TAB-032137499,Tablet,Huawei,iPad 9th Gen,,Maintenance,"13.3 inch Display, 128GB Storage",Fair
TAB-032138836,Tablet,Apple,iPad 9th Gen,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",New
OTH-032139539,Others,Logitech,Webcam C920,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
DES-032140080,Desktop,HP,ThinkCentre M720,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
DES-032141421,Desktop,Lenovo,ThinkCentre M720,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
TAB-032142710,Tablet,Lenovo,Galaxy Tab A8,,Available,"4000 Lumens, Wireless",Fair
TAB-032143463,Tablet,Samsung,iPad 9th Gen,,Maintenance,"3000 Lumens, HDMI, VGA",Fair
PRO-032144934,Projector,Epson,EB-X05,,Available,"Network Ready, Duplex Printing",Good
TAB-032145564,Tablet,Huawei,iPad 9th Gen,,Available,"10.1 inch Display, 64GB Storage",Good
OTH-032146768,Others,Canon,LaserJet Pro,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Good
OTH-032147520,Others,Canon,Printer MF445dw,,Maintenance,"13.3 inch Display, 128GB Storage",Fair
OTH-032148525,Others,Brother,Webcam C920,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Fair
TAB-032149464,Tablet,Huawei,Tab M10,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
LAP-032150816,Laptop,Dell,ThinkPad E14,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
TAB-032151278,Tablet,Lenovo,MatePad,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Fair
DES-032152960,Desktop,HP,ThinkCentre M720,,Available,"4000 Lumens, Wireless",Fair
TAB-032153809,Tablet,Samsung,Galaxy Tab A8,,Available,"32GB RAM, 1TB SSD, Intel Core i9",New
LAP-032154991,Laptop,Acer,VivoBook 15,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
PRO-032155559,Projector,BenQ,EB-X05,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Fair
LAP-032156603,Laptop,HP,ProBook 450,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Fair
TAB-032157434,Tablet,Lenovo,MatePad,,Available,"Network Ready, Duplex Printing",New
PRO-032158635,Projector,BenQ,EB-X05,,Available,"13.3 inch Display, 128GB Storage",Good
PRO-032159743,Projector,ViewSonic,MH550,,Maintenance,"10.1 inch Display, 64GB Storage",Good
LAP-032160995,Laptop,Dell,Latitude 3520,,Maintenance,"3000 Lumens, HDMI, VGA",New
LAP-032161424,Laptop,Acer,ProBook 450,,Maintenance,"10.1 inch Display, 64GB Storage",Good
LAP-032162317,Laptop,Acer,ProBook 450,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Good
LAP-032163601,Laptop,ASUS,Latitude 3520,,Available,"10.1 inch Display, 64GB Storage",Fair
PRO-032164633,Projector,Optoma,HD146X,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Fair
OTH-032165242,Others,Logitech,Webcam C920,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Fair
PRO-032166621,Projector,ViewSonic,EB-X05,,Available,"10.1 inch Display, 64GB Storage",Fair
DES-032167426,Desktop,Lenovo,EliteDesk 800,,Available,"3000 Lumens, HDMI, VGA",Fair
DES-032168702,Desktop,Acer,OptiPlex 3080,,Available,"13.3 inch Display, 128GB Storage",Good
PRO-032169178,Projector,BenQ,EB-X05,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Good
TAB-032170061,Tablet,Apple,Galaxy Tab A8,,Available,"Network Ready, Duplex Printing",New
DES-032171179,Desktop,HP,Veriton M,,Maintenance,"3000 Lumens, HDMI, VGA",New
LAP-032172667,Laptop,Acer,VivoBook 15,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Fair
LAP-032173887,Laptop,Lenovo,Latitude 3520,,Available,"4000 Lumens, Wireless",New
TAB-032174869,Tablet,Huawei,MatePad,,Available,"Network Ready, Duplex Printing",New
DES-032175807,Desktop,Dell,Veriton M,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
DES-032176465,Desktop,Acer,OptiPlex 3080,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Fair
PRO-032177277,Projector,BenQ,PA503W,,Maintenance,"Network Ready, Duplex Printing",New
TAB-032178848,Tablet,Huawei,MatePad,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Fair
LAP-032179149,Laptop,Acer,Aspire 5,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",New
TAB-032180096,Tablet,Apple,Galaxy Tab A8,,Available,"4000 Lumens, Wireless",Good
DES-032181907,Desktop,Acer,OptiPlex 3080,,Maintenance,"10.1 inch Display, 64GB Storage",Good
PRO-032182025,Projector,BenQ,PA503W,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Fair
DES-032183951,Desktop,Acer,ThinkCentre M720,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
PRO-032184745,Projector,Optoma,EB-X05,,Available,"4000 Lumens, Wireless",Fair
TAB-032185547,Tablet,Lenovo,Galaxy Tab A8,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Good
LAP-032186114,Laptop,Lenovo,Latitude 3520,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
TAB-032187816,Tablet,Samsung,Tab M10,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Good
PRO-032188673,Projector,ViewSonic,PA503W,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
TAB-032189980,Tablet,Samsung,MatePad,,Maintenance,"Network Ready, Duplex Printing",New
TAB-032190017,Tablet,Samsung,Galaxy Tab A8,,Maintenance,"13.3 inch Display, 128GB Storage",New
TAB-032191442,Tablet,Lenovo,Galaxy Tab A8,,Available,"3000 Lumens, HDMI, VGA",New
PRO-032192010,Projector,Epson,MH550,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
TAB-032193851,Tablet,Huawei,Tab M10,,Available,"13.3 inch Display, 128GB Storage",Fair
OTH-032194937,Others,HP,LaserJet Pro,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
OTH-032195069,Others,HP,Printer MF445dw,,Available,"32GB RAM, 1TB SSD, Intel Core i9",New
TAB-032196953,Tablet,Apple,iPad 9th Gen,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
DES-032197960,Desktop,Lenovo,Veriton M,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
TAB-032198240,Tablet,Apple,Tab M10,,Available,"4000 Lumens, Wireless",New
LAP-032199523,Laptop,ASUS,Latitude 3520,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Fair
TAB-032200429,Tablet,Huawei,Galaxy Tab A8,,Maintenance,"Network Ready, Duplex Printing",Fair
LAP-032201167,Laptop,ASUS,VivoBook 15,,Available,"32GB RAM, 1TB SSD, Intel Core i9",New
LAP-032202305,Laptop,HP,VivoBook 15,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
DES-032203885,Desktop,Acer,EliteDesk 800,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Good
DES-032204029,Desktop,Lenovo,OptiPlex 3080,,Available,"Network Ready, Duplex Printing",New
PRO-032205186,Projector,Optoma,PA503W,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Fair
LAP-032206385,Laptop,HP,Latitude 3520,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Good
LAP-032207327,Laptop,Dell,VivoBook 15,,Maintenance,"10.1 inch Display, 64GB Storage",Good
LAP-032208327,Laptop,ASUS,VivoBook 15,,Maintenance,"Network Ready, Duplex Printing",New
OTH-032209807,Others,HP,Printer MF445dw,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Good
TAB-032210340,Tablet,Samsung,Galaxy Tab A8,,Available,"10.1 inch Display, 64GB Storage",New
PRO-032211254,Projector,Optoma,HD146X,,Available,"4GB RAM, 128GB SSD, Intel Core i3",New
OTH-032212772,Others,HP,DCP-L2550DW,,Available,"13.3 inch Display, 128GB Storage",Good
DES-032213968,Desktop,Dell,ThinkCentre M720,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Good
LAP-032214784,Laptop,HP,ProBook 450,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
PRO-032215095,Projector,ViewSonic,MH550,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Fair
PRO-032216480,Projector,BenQ,MH550,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
PRO-032217269,Projector,ViewSonic,HD146X,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Good
